topic,candidate,n
EP-1280195-A2,EP-0678921,1
EP-1280195-A2,EP-0776049,2
EP-1280195-A2,EP-1091408,1
EP-1283561-A1,EP-0546710,1
EP-1283561-A1,EP-1047245,2
EP-1283561-A1,EP-1056157,1
EP-1283561-A1,WO-1998035394,2
EP-1286446-A1,EP-0430795,2
EP-1286446-A1,EP-0431514,2
EP-1286446-A1,EP-0582721,2
EP-1286446-A1,EP-0866540,2
EP-1286446-A1,EP-1249919,1
EP-1286446-A1,WO-1995021484,1
EP-1293376-A1,EP-0448551,2
EP-1293376-A1,EP-1201482,2
EP-1293376-A1,WO-1989010282,2
EP-1293759-A2,EP-0547617,1
EP-1293759-A2,EP-0566708,1
EP-1293759-A2,EP-0604422,1
EP-1293759-A2,EP-0776468,1
EP-1293759-A2,EP-0890826,2
EP-1293759-A2,EP-0972171,1
EP-1293759-A2,WO-1996006338,1
EP-1293759-A2,WO-1996013701,1
EP-1293759-A2,WO-1998044318,1
EP-1295624-A2,EP-0515059,1
EP-1295624-A2,WO-2000069012,2
EP-1301064-A1,EP-0419949,1
EP-1301064-A1,EP-0650317,2
EP-1301064-A1,EP-1121841,1
EP-1301064-A1,EP-1172027,1
EP-1301064-A1,WO-2000021348,1
EP-1301064-A1,WO-2000064230,1
EP-1302416-A1,EP-0611709,1
EP-1302416-A1,EP-0611713,2
EP-1302416-A1,EP-0752280,1
EP-1302744-A2,EP-0298511,1
EP-1302744-A2,EP-0309963,1
EP-1302744-A2,EP-0441020,2
EP-1302744-A2,EP-0638783,1
EP-1302744-A2,EP-0642216,2
EP-1302744-A2,EP-0649002,2
EP-1302744-A2,EP-1085654,1
EP-1302744-A2,EP-1152215,1
EP-1302946-A1,EP-0951019,1
EP-1302946-A1,EP-1005040,1
EP-1302946-A1,EP-1006722,1
EP-1302946-A1,EP-1102485,2
EP-1302946-A1,EP-1154648,2
EP-1302946-A1,WO-1995018523,1
EP-1302956-A1,EP-0840338,1
EP-1302956-A1,EP-0874381,2
EP-1302956-A1,EP-0887822,1
EP-1302956-A1,EP-1131832,2
EP-1302956-A1,WO-2000030136,2
EP-1304210-A1,EP-0222977,1
EP-1304210-A1,EP-0364846,1
EP-1304210-A1,EP-0551818,1
EP-1304210-A1,EP-0926173,1
EP-1304210-A1,WO-1994028093,1
EP-1304210-A1,WO-1995007961,2
EP-1304210-A1,WO-1997008234,1
EP-1304242-A2,EP-0878334,2
EP-1304242-A2,EP-1286845,1
EP-1304242-A2,WO-2001089866,1
EP-1306713-A2,WO-2000012981,2
EP-1306713-A2,WO-2001007939,2
EP-1312365-A1,EP-0429149,2
EP-1312365-A1,WO-2001041807,2
EP-1312569-A2,EP-0712371,2
EP-1312569-A2,EP-1077193,1
EP-1312569-A2,WO-1995003990,2
EP-1314965-A2,EP-0390886,1
EP-1314965-A2,EP-0514081,1
EP-1314965-A2,EP-0657715,1
EP-1314965-A2,EP-0708311,1
EP-1314965-A2,EP-0836077,2
EP-1314965-A2,EP-0836080,1
EP-1314965-A2,EP-1126248,1
EP-1314965-A2,EP-1133674,1
EP-1314965-A2,EP-1207372,1
EP-1314965-A2,WO-1990002956,1
EP-1314965-A2,WO-2000033022,1
EP-1315379-A2,EP-0993193,2
EP-1315379-A2,WO-1999055091,2
EP-1318007-A2,WO-1982003597,2
EP-1321410-A1,EP-0330868,2
EP-1321410-A1,EP-0520944,2
EP-1321410-A1,EP-1057762,1
EP-1321410-A1,EP-1075445,1
EP-1321410-A1,EP-1124747,2
EP-1321410-A1,EP-1193201,1
EP-1321410-A1,WO-1999055609,1
EP-1321410-A1,WO-2000024660,2
EP-1321528-A1,EP-0736606,2
EP-1321528-A1,WO-2001044492,2
EP-1321563-A2,EP-0549467,2
EP-1321563-A2,EP-0897999,1
EP-1321563-A2,EP-0940494,1
EP-1321563-A2,EP-1148169,2
EP-1325943-A2,EP-0904258,1
EP-1325943-A2,EP-1073694,2
EP-1325943-A2,WO-1997023436,1
EP-1325943-A2,WO-1998045241,1
EP-1325943-A2,WO-1999054408,2
EP-1326195-A1,EP-0689161,2
EP-1326195-A1,EP-0693741,2
EP-1326195-A1,EP-0833026,2
EP-1326195-A1,EP-1050839,2
EP-1326195-A1,EP-1099814,1
EP-1327523-A1,EP-0076777,2
EP-1327523-A1,EP-0277545,2
EP-1327523-A1,EP-0295319,2
EP-1327523-A1,EP-0704301,2
EP-1327523-A1,EP-0719641,1
EP-1327523-A1,EP-0782919,2
EP-1327523-A1,EP-0936065,2
EP-1327523-A1,EP-0970807,1
EP-1327523-A1,EP-1020287,2
EP-1327747-A2,EP-0924383,1
EP-1327747-A2,EP-1035302,2
EP-1327747-A2,EP-1068428,2
EP-1327747-A2,EP-1113145,1
EP-1327747-A2,WO-1998035137,2
EP-1329470-A1,EP-0606749,1
EP-1329470-A1,EP-0978522,1
EP-1329470-A1,EP-1174450,2
EP-1329563-A1,EP-0193494,1
EP-1329563-A1,EP-0773324,2
EP-1329563-A1,EP-1113115,1
EP-1331690-A1,EP-0726019,2
EP-1331690-A1,EP-0750827,2
EP-1331690-A1,WO-1995025409,2
EP-1331690-A1,WO-1996007285,2
EP-1331690-A1,WO-2000003487,1
EP-1333155-A1,EP-0924383,1
EP-1333155-A1,EP-0945594,1
EP-1333155-A1,EP-1128024,2
EP-1334882-A1,EP-0249518,1
EP-1334882-A1,EP-0937611,1
EP-1334882-A1,EP-1182095,2
EP-1335284-A1,EP-0866612,2
EP-1335284-A1,EP-1115265,1
EP-1335284-A1,EP-1121806,1
EP-1335284-A1,EP-1131709,1
EP-1335284-A1,EP-1168721,2
EP-1335284-A1,EP-1331560,2
EP-1335284-A1,WO-1997031309,2
EP-1335284-A1,WO-2000022829,1
EP-1335284-A1,WO-2000023887,1
EP-1335284-A1,WO-2002052752,1
EP-1335330-A2,EP-0584499,1
EP-1335330-A2,EP-0694644,1
EP-1335330-A2,EP-0770749,1
EP-1335330-A2,EP-0828049,1
EP-1335330-A2,EP-1001118,2
EP-1335330-A2,EP-1048807,1
EP-1335330-A2,EP-1050643,1
EP-1335330-A2,EP-1052353,1
EP-1335330-A2,EP-1130202,1
EP-1335330-A2,EP-1320652,1
EP-1335330-A2,WO-2002031298,1
EP-1335348-A1,EP-0772067,1
EP-1335348-A1,EP-0829077,1
EP-1335348-A1,EP-0859970,2
EP-1335348-A1,EP-1157371,1
EP-1335348-A1,WO-1996037875,1
EP-1335348-A1,WO-1997017632,2
EP-1335348-A1,WO-1998050821,1
EP-1335348-A1,WO-2000052671,1
EP-1335374-A1,EP-0723266,2
EP-1335374-A1,EP-1206774,2
EP-1335374-A1,WO-2001004905,2
EP-1335475-A1,EP-0752168,1
EP-1335475-A1,EP-0771487,1
EP-1335475-A1,EP-0818869,1
EP-1335475-A1,WO-1995026066,1
EP-1335475-A1,WO-1995026588,1
EP-1335475-A1,WO-2000077918,2
EP-1335547-A1,EP-0669742,2
EP-1335547-A1,WO-1999049624,1
EP-1336468-A2,EP-0323286,2
EP-1336468-A2,EP-0418542,2
EP-1336468-A2,EP-1092657,1
EP-1336468-A2,EP-1105562,1
EP-1336468-A2,EP-1112407,1
EP-1336468-A2,EP-1176087,2
EP-1336468-A2,WO-2000009803,1
EP-1336468-A2,WO-2000014328,1
EP-1336519-A1,EP-1099579,1
EP-1336519-A1,EP-1107873,1
EP-1336519-A1,EP-1157870,2
EP-1336519-A1,WO-2000007837,1
EP-1336651-A1,EP-0794998,2
EP-1336651-A1,EP-1074608,2
EP-1336651-A1,EP-1274826,2
EP-1336651-A1,WO-1996017043,2
EP-1336651-A1,WO-2001048134,2
EP-1336651-A1,WO-2001064326,2
EP-1336651-A1,WO-2001079414,2
EP-1337133-A2,WO-1996003017,1
EP-1337133-A2,WO-2000030413,1
EP-1337133-A2,WO-2001098853,2
EP-1338590-A1,EP-0294388,1
EP-1338590-A1,EP-0546357,1
EP-1338590-A1,EP-0719315,1
EP-1338590-A1,EP-0764714,1
EP-1338590-A1,EP-0764716,1
EP-1338590-A1,EP-0770668,1
EP-1338590-A1,EP-0783032,1
EP-1338590-A1,EP-0811674,1
EP-1338590-A1,EP-0825247,1
EP-1338590-A1,EP-0856575,1
EP-1338590-A1,EP-0874040,1
EP-1338590-A1,EP-0892037,1
EP-1338590-A1,EP-1005516,1
EP-1338590-A1,EP-1041134,1
EP-1338590-A1,EP-1068284,1
EP-1338590-A1,EP-1169421,2
EP-1338590-A1,EP-1203805,1
EP-1338590-A1,WO-1995007966,1
EP-1338590-A1,WO-1996037585,1
EP-1338590-A1,WO-1999028420,1
EP-1338590-A1,WO-1999049005,1
EP-1338590-A1,WO-2000055284,2
EP-1340452-A1,WO-1995032664,2
EP-1340452-A1,WO-2000028887,2
EP-1342674-A2,EP-0307194,2
EP-1342674-A2,EP-0450247,1
EP-1342674-A2,EP-0490822,1
EP-1342674-A2,EP-0607263,1
EP-1342674-A2,EP-0734346,2
EP-1342674-A2,EP-0858956,2
EP-1342674-A2,WO-1993007303,1
EP-1342674-A2,WO-1995016621,2
EP-1345188-A2,EP-0423848,1
EP-1345188-A2,EP-0615264,1
EP-1345188-A2,EP-1261978,1
EP-1345188-A2,WO-2001069617,1
EP-1348371-A1,EP-0745347,2
EP-1348371-A1,EP-0904725,1
EP-1348371-A1,EP-0919179,1
EP-1348371-A1,EP-1018926,1
EP-1348371-A1,EP-1080743,1
EP-1348371-A1,EP-1090581,1
EP-1348371-A1,EP-1159924,1
EP-1348371-A1,WO-1999016341,1
EP-1348876-A1,EP-0840673,2
EP-1348876-A1,EP-0902198,2
EP-1348876-A1,WO-1997003801,2
EP-1352641-A2,EP-0912164,1
EP-1352641-A2,EP-1216684,2
EP-1352641-A2,WO-1998001109,1
EP-1352641-A2,WO-2001085117,1
EP-1355024-A1,EP-0404609,2
EP-1355024-A1,EP-0411972,1
EP-1355024-A1,EP-0556553,1
EP-1355024-A1,EP-0799957,1
EP-1355366-A2,EP-0507090,2
EP-1355366-A2,EP-0528473,2
EP-1355366-A2,WO-1999012219,2
EP-1357169-A2,EP-0153176,1
EP-1357169-A2,EP-0153177,1
EP-1357169-A2,EP-0272889,2
EP-1357169-A2,EP-0513211,1
EP-1357169-A2,EP-0525040,1
EP-1357169-A2,EP-0631590,2
EP-1357169-A2,EP-0663898,2
EP-1357169-A2,EP-0807642,2
EP-1357169-A2,EP-0857776,2
EP-1357169-A2,EP-1088013,2
EP-1357169-A2,WO-1991011488,1
EP-1357169-A2,WO-1991016407,1
EP-1357169-A2,WO-1993019106,2
EP-1357169-A2,WO-1994007842,2
EP-1357169-A2,WO-1999061498,2
EP-1357169-A2,WO-2001062874,2
EP-1357363-A1,EP-0544403,2
EP-1357363-A1,EP-0690314,2
EP-1357363-A1,EP-0763713,2
EP-1357363-A1,EP-1162465,1
EP-1359244-A2,EP-0694644,2
EP-1359244-A2,EP-0814188,2
EP-1359244-A2,EP-1224355,2
EP-1359244-A2,EP-1251759,1
EP-1359244-A2,WO-2001025529,2
EP-1359244-A2,WO-2001047383,1
EP-1362651-A1,EP-0267115,1
EP-1362651-A1,EP-0484588,1
EP-1362651-A1,EP-0586725,1
EP-1362651-A1,EP-0922509,2
EP-1362651-A1,EP-0983808,1
EP-1362651-A1,EP-1103318,1
EP-1362891-A1,EP-0525206,1
EP-1362891-A1,EP-0604949,1
EP-1362891-A1,EP-0746530,2
EP-1362891-A1,EP-1170109,1
EP-1362891-A1,EP-1294784,1
EP-1362891-A1,WO-1995023120,2
EP-1362891-A1,WO-2001096448,1
EP-1366744-A1,EP-0494022,1
EP-1366744-A1,EP-0761199,1
EP-1366744-A1,EP-0952817,1
EP-1366744-A1,WO-1998031334,1
EP-1366744-A1,WO-2001096429,2
EP-1367144-A1,EP-0861919,2
EP-1367144-A1,EP-1043424,1
EP-1367144-A1,EP-1199377,1
EP-1367515-A1,EP-0895626,1
EP-1367515-A1,EP-1205407,1
EP-1367515-A1,WO-1997040459,1
EP-1367515-A1,WO-2000029999,2
EP-1369040-A2,EP-1152665,2
EP-1369040-A2,EP-1250160,2
EP-1369040-A2,WO-2000048469,2
EP-1369040-A2,WO-2001054740,2
EP-1369386-A2,EP-0465043,2
EP-1369386-A2,WO-2000037369,2
EP-1374679-A2,EP-0147207,1
EP-1374679-A2,EP-0252278,1
EP-1374679-A2,EP-0515486,1
EP-1374679-A2,EP-0596493,2
EP-1374679-A2,EP-0953283,1
EP-1374679-A2,EP-0971584,1
EP-1374679-A2,EP-1133320,2
EP-1374679-A2,EP-1276372,2
EP-1374679-A2,WO-1991013059,1
EP-1374679-A2,WO-1998011777,1
EP-1374679-A2,WO-1998037762,1
EP-1374679-A2,WO-2000029038,2
EP-1374679-A2,WO-2001082694,2
EP-1374698-A1,WO-1987002705,1
EP-1374698-A1,WO-2002020431,2
EP-1375640-A1,WO-1987002705,1
EP-1375640-A1,WO-2002020431,2
EP-1375673-A1,EP-1108472,2
EP-1375673-A1,WO-2002009868,1
EP-1376177-A2,EP-0279359,2
EP-1376177-A2,EP-0484996,2
EP-1376177-A2,EP-0580289,2
EP-1376177-A2,EP-0987572,2
EP-1376795-A2,EP-0562766,2
EP-1376795-A2,EP-1236256,2
EP-1376795-A2,WO-2001042046,2
EP-1378590-A1,EP-0360848,1
EP-1378590-A1,EP-0384227,2
EP-1380281-A1,EP-0658609,2
EP-1380281-A1,EP-1305351,2
EP-1380281-A1,WO-2002010243,2
EP-1380281-A1,WO-2002039962,2
EP-1380441-A1,EP-1056672,2
EP-1380441-A1,EP-1136283,1
EP-1380441-A1,WO-1996021904,2
EP-1380441-A1,WO-1999036338,2
EP-1380593-A1,EP-1011706,1
EP-1380593-A1,EP-1305635,2
EP-1380593-A1,WO-1999007402,1
EP-1380593-A1,WO-2000020458,1
EP-1380593-A1,WO-2001092892,2
EP-1382737-A1,EP-0789799,1
EP-1382737-A1,EP-0829573,1
EP-1382737-A1,EP-0886004,2
EP-1382737-A1,EP-0978588,1
EP-1382737-A1,WO-1987002080,1
EP-1382737-A1,WO-1996012065,1
EP-1382890-A1,EP-0566399,2
EP-1382890-A1,EP-0584316,2
EP-1385132-A1,EP-1236185,2
EP-1385132-A1,WO-2001043087,2
EP-1385132-A1,WO-2002017158,1
EP-1387108-A2,EP-0748949,1
EP-1387108-A2,EP-0809039,2
EP-1387108-A2,EP-0875692,1
EP-1391741-A1,EP-0329709,1
EP-1391741-A1,EP-0720539,1
EP-1391741-A1,EP-0833423,2
EP-1391741-A1,WO-1988003657,1
EP-1391741-A1,WO-1995008453,1
EP-1391947-A1,EP-1183745,2
EP-1391947-A1,WO-1997001869,2
EP-1391947-A1,WO-2000057504,2
EP-1392070-A1,EP-0301740,2
EP-1392070-A1,EP-0781065,2
EP-1392070-A1,EP-1130934,2
EP-1394285-A1,EP-0977907,2
EP-1394285-A1,EP-0984876,2
EP-1394285-A1,EP-1165855,2
EP-1394285-A1,WO-1999043865,2
EP-1394285-A1,WO-1999051471,2
EP-1394285-A1,WO-2000053823,2
EP-1394488-A2,EP-0361307,2
EP-1394488-A2,EP-0382963,1
EP-1394488-A2,EP-0747646,1
EP-1394488-A2,EP-1079187,2
EP-1394488-A2,EP-1174666,1
EP-1395085-A2,EP-0594933,1
EP-1395085-A2,EP-0695617,1
EP-1395085-A2,EP-1051059,2
EP-1396259-A2,EP-0550745,2
EP-1396259-A2,EP-0568035,2
EP-1396259-A2,EP-0663202,2
EP-1396259-A2,EP-0847747,2
EP-1396259-A2,EP-1005322,2
EP-1396259-A2,EP-1034776,2
EP-1396259-A2,EP-1067902,2
EP-1396259-A2,EP-1163898,2
EP-1396259-A2,EP-1191041,2
EP-1396259-A2,EP-1299069,2
EP-1396259-A2,EP-1345570,2
EP-1396259-A2,WO-1998042298,2
EP-1396259-A2,WO-1999052499,2
EP-1396259-A2,WO-2002003931,2
EP-1396259-A2,WO-2002047622,2
EP-1396259-A2,WO-2002049586,2
EP-1396952-A1,EP-0554714,1
EP-1396952-A1,EP-0590633,1
EP-1396952-A1,EP-1297645,2
EP-1396952-A1,WO-2001055756,1
EP-1398693-A2,EP-1142309,2
EP-1398693-A2,EP-1194843,2
EP-1398693-A2,WO-2000040005,2
EP-1398693-A2,WO-2001004747,2
EP-1400476-A1,EP-0330068,1
EP-1400476-A1,EP-0841280,2
EP-1400476-A1,WO-2000039016,2
EP-1400956-A2,EP-0654786,1
EP-1400956-A2,EP-0817182,2
EP-1403160-A1,EP-0712708,1
EP-1403160-A1,EP-1072381,2
EP-1403160-A1,EP-1109707,2
EP-1403160-A1,WO-2000012367,2
EP-1404043-A1,EP-0529269,2
EP-1404043-A1,EP-0580652,1
EP-1404043-A1,EP-0748085,2
EP-1404043-A1,EP-1062831,2
EP-1404043-A1,WO-1992019059,1
EP-1404043-A1,WO-1999046745,2
EP-1404043-A1,WO-2000028776,2
EP-1404043-A1,WO-2002047321,1
EP-1404079-A2,EP-1002405,2
EP-1404079-A2,EP-1049302,1
EP-1404079-A2,EP-1061705,1
EP-1404079-A2,EP-1416694,1
EP-1404079-A2,EP-1505787,1
EP-1404079-A2,WO-1999008427,2
EP-1405604-A1,EP-0397980,2
EP-1405604-A1,EP-0538659,2
EP-1408202-A2,EP-0594462,2
EP-1408202-A2,EP-0594463,2
EP-1408202-A2,EP-1063407,2
EP-1408202-A2,EP-1136661,2
EP-1408512-A1,EP-0378538,2
EP-1408512-A1,EP-1046993,2
EP-1416089-A1,EP-0937817,1
EP-1416089-A1,EP-0952252,1
EP-1416089-A1,EP-1121491,2
EP-1416089-A1,WO-2000023652,2
EP-1422866-A1,EP-0885504,1
EP-1422866-A1,EP-1188154,2
EP-1422866-A1,WO-1997033404,1
EP-1422866-A1,WO-2000079494,2
EP-1424058-A1,EP-0471054,2
EP-1424058-A1,EP-0775481,2
EP-1424058-A1,EP-0987002,1
EP-1424058-A1,EP-0998905,1
EP-1424058-A1,EP-1080713,1
EP-1424058-A1,EP-1201222,1
EP-1424381-A2,EP-1061112,2
EP-1424381-A2,EP-1775335,2
EP-1424731-A2,EP-0540451,1
EP-1424814-A1,EP-0560886,1
EP-1424814-A1,EP-0723351,1
EP-1424814-A1,WO-1992010041,1
EP-1424814-A1,WO-2000001080,2
EP-1426592-A2,EP-0743429,2
EP-1426592-A2,EP-0758713,1
EP-1426592-A2,EP-1172531,1
EP-1426592-A2,EP-1172532,1
EP-1426592-A2,EP-1296050,1
EP-1428516-A1,EP-1276451,2
EP-1428516-A1,WO-2000076467,1
EP-1428516-A1,WO-2001097759,2
EP-1428517-A1,EP-0966253,2
EP-1428517-A1,EP-1292266,2
EP-1428517-A1,EP-1326579,2
EP-1428517-A1,WO-1999015140,2
EP-1428517-A1,WO-2001097756,2
EP-1428517-A1,WO-2002032386,2
EP-1440706-A1,EP-0565045,2
EP-1440706-A1,EP-1104322,1
EP-1440706-A1,WO-2000009193,1
EP-1440986-A1,EP-0260050,1
EP-1440986-A1,EP-0735053,1
EP-1440986-A1,EP-0800860,1
EP-1440986-A1,EP-0926162,2
EP-1440986-A1,EP-1319029,1
EP-1440986-A1,EP-1353963,1
EP-1440986-A1,WO-2002022695,1
EP-1440986-A1,WO-2002048209,1
EP-1442759-A1,EP-0302861,1
EP-1442759-A1,EP-0346784,1
EP-1442759-A1,EP-0486681,1
EP-1442759-A1,EP-0578338,1
EP-1442759-A1,EP-0687343,1
EP-1442759-A1,EP-0688399,1
EP-1442759-A1,EP-0801576,1
EP-1442759-A1,EP-0885619,1
EP-1442759-A1,EP-0914048,1
EP-1442759-A1,EP-1280458,2
EP-1442759-A1,WO-1994012223,1
EP-1442759-A1,WO-1995014172,1
EP-1442759-A1,WO-1995017604,1
EP-1442759-A1,WO-1998030122,1
EP-1442759-A1,WO-1998033534,1
EP-1442759-A1,WO-1999045995,1
EP-1442759-A1,WO-2000021590,1
EP-1442759-A1,WO-2001085029,2
EP-1443219-A1,EP-0462432,2
EP-1443219-A1,EP-0535085,1
EP-1443219-A1,EP-0643814,2
EP-1443219-A1,EP-0670012,1
EP-1443219-A1,EP-0894983,1
EP-1443219-A1,EP-0947901,2
EP-1443219-A1,WO-1991010070,1
EP-1443219-A1,WO-1991019907,1
EP-1443807-A2,EP-0621743,2
EP-1443807-A2,EP-0677982,2
EP-1443807-A2,EP-0763312,1
EP-1443807-A2,EP-1049361,1
EP-1443807-A2,WO-1996031097,1
EP-1443807-A2,WO-2000040060,2
EP-1447491-A1,EP-0678141,1
EP-1447491-A1,EP-0853167,2
EP-1447491-A1,WO-1994016168,1
EP-1447856-A2,EP-0389533,1
EP-1447856-A2,EP-0448607,1
EP-1447856-A2,EP-0495787,1
EP-1447856-A2,EP-0622858,1
EP-1447856-A2,EP-0734593,1
EP-1447856-A2,EP-0803916,2
EP-1447856-A2,EP-1042544,1
EP-1447856-A2,WO-1995017019,1
EP-1447856-A2,WO-1999031306,1
EP-1447856-A2,WO-2000021144,1
EP-1447856-A2,WO-2002037579,1
EP-1452479-A1,EP-0355490,2
EP-1452479-A1,EP-0740166,1
EP-1452479-A1,EP-0921089,2
EP-1452479-A1,EP-0921091,2
EP-1452479-A1,EP-0921092,2
EP-1452479-A1,EP-0921093,2
EP-1452479-A1,EP-0921096,2
EP-1452479-A1,EP-1038823,1
EP-1452691-A1,EP-0531202,1
EP-1452691-A1,EP-0698723,2
EP-1452691-A1,EP-1106787,2
EP-1452934-A2,EP-0422757,1
EP-1452934-A2,EP-0461557,2
EP-1452934-A2,EP-0624014,2
EP-1452934-A2,EP-0635790,1
EP-1452934-A2,EP-1267517,1
EP-1453341-A2,EP-1112624,2
EP-1453341-A2,EP-1128573,1
EP-1453341-A2,EP-1187165,1
EP-1453341-A2,WO-2000014900,2
EP-1453341-A2,WO-2000057658,2
EP-1455163-A2,EP-0865014,2
EP-1455163-A2,EP-0905662,2
