topic,candidate,score,tp
EP-1222910-A2,WO-2000038619,0.6528107,0
EP-1222910-A2,WO-1999024477,0.65188736,0
EP-1222910-A2,EP-0295627,0.6513175,0
EP-1222910-A2,EP-0475239,0.65112865,0
EP-1222910-A2,WO-2002002057,0.65046513,0
EP-1222910-A2,EP-0867166,0.6500412,0
EP-1222910-A2,EP-0832636,0.6500403,0
EP-1222910-A2,WO-1998036729,0.6495649,0
EP-1222910-A2,WO-2002041846,0.6485555,0
EP-1222910-A2,EP-0678533,0.6484523,0
EP-1222910-A2,EP-0471252,0.6483425,0
EP-1222910-A2,WO-1997003063,0.6477778,0
EP-1222910-A2,WO-1999062460,0.6476599,0
EP-1222910-A2,EP-0284991,0.6475358,0
EP-1222910-A2,EP-0499180,0.6469719,0
EP-1222910-A2,WO-2000042092,0.6465406,0
EP-1222910-A2,WO-1998031325,0.64632726,0
EP-1222910-A2,EP-0937448,0.64626867,0
EP-1222910-A2,WO-1995034270,0.64612365,0
EP-1222910-A2,EP-0413174,0.64601,0
EP-1222910-A2,EP-1025830,0.6458896,0
EP-1222910-A2,EP-0254185,0.6450493,0
EP-1222910-A2,WO-2000033793,0.6446605,0
EP-1222910-A2,EP-0716103,0.6441989,0
EP-1222910-A2,EP-1139973,0.643797,0
EP-1222910-A2,EP-0674896,0.6437863,0
EP-1222910-A2,WO-2001076536,0.6437355,0
EP-1222910-A2,WO-2001060322,0.64357114,0
EP-1222910-A2,WO-2000019966,0.6434086,0
EP-1222910-A2,WO-2001052792,0.6425221,0
EP-1222910-A2,EP-0803240,0.6423297,0
EP-1222910-A2,EP-1083179,0.64195096,0
EP-1222910-A2,EP-0531802,0.64169604,0
EP-1222910-A2,EP-0497157,0.6416111,0
EP-1222910-A2,EP-0301516,0.6414709,0
EP-1222910-A2,EP-0806931,0.6412765,0
EP-1222910-A2,EP-1334711,0.64108586,0
EP-1222910-A2,EP-1255524,0.6408792,0
EP-1222910-A2,WO-2000069395,0.6407274,0
EP-1222910-A2,EP-0881893,0.6406424,0
EP-1222910-A2,EP-0728790,0.64058596,0
EP-1222910-A2,EP-1226808,0.640007,0
EP-1222910-A2,EP-1029880,0.639834,0
EP-1222910-A2,EP-0621028,0.63949966,0
EP-1222910-A2,EP-0712622,0.6391264,0
EP-1222910-A2,EP-1106163,0.63900113,0
EP-1222910-A2,EP-0449399,0.63778174,0
EP-1222910-A2,EP-0968701,0.6370347,0
EP-1222910-A2,EP-0651989,0.6365361,0
EP-1222910-A2,EP-1117367,0.63648593,0
EP-1222910-A2,EP-0279238,0.63605976,0
EP-1222910-A2,EP-1190695,0.6360304,0
EP-1222910-A2,EP-0347711,0.6359484,0
EP-1222910-A2,WO-2000049064,0.6358626,0
EP-1222910-A2,WO-2001008639,0.63547516,0
EP-1222910-A2,EP-1027377,0.6352734,0
EP-1222910-A2,EP-0508095,0.6344926,0
EP-1222910-A2,WO-1996023480,0.63424194,0
EP-1222910-A2,EP-1248588,0.63391805,0
EP-1222910-A2,EP-0172513,0.633459,1
EP-1222910-A2,WO-2000021488,0.63319045,0
EP-1222910-A2,EP-0705590,0.63318443,0
EP-1222910-A2,EP-0373385,0.6329634,0
EP-1222910-A2,EP-0894488,0.6327888,0
EP-1222910-A2,WO-2001092374,0.63271034,0
EP-1222910-A2,WO-2002043670,0.6326287,0
EP-1222910-A2,WO-2002026197,0.6323885,0
EP-1222910-A2,EP-1249221,0.63178694,0
EP-1222910-A2,EP-0717977,0.63172483,0
EP-1222910-A2,EP-1337221,0.6309291,0
EP-1222910-A2,EP-0485659,0.63077533,0
EP-1222910-A2,WO-2001092271,0.63070095,0
EP-1222910-A2,EP-0269819,0.63064414,0
EP-1222910-A2,WO-2002041845,0.6304839,0
EP-1222910-A2,EP-0530646,0.6302744,0
EP-1222910-A2,EP-0623015,0.6301271,0
EP-1222910-A2,EP-0794952,0.6300348,0
EP-1222910-A2,EP-0980682,0.6298796,0
EP-1222910-A2,EP-0693487,0.6295497,0
EP-1222910-A2,EP-0673637,0.6294483,0
EP-1222910-A2,WO-2001074301,0.6292749,0
EP-1222910-A2,EP-0684033,0.6292372,0
EP-1222910-A2,EP-1117368,0.629115,0
EP-1222910-A2,EP-1163281,0.6289073,0
EP-1222910-A2,EP-0142172,0.6287811,0
EP-1222910-A2,EP-1267797,0.6285372,0
EP-1222910-A2,WO-2000067701,0.62822735,0
EP-1222910-A2,EP-0270915,0.62817514,0
EP-1222910-A2,EP-0554890,0.6279556,0
EP-1222910-A2,EP-0567213,0.6277899,0
EP-1222910-A2,EP-0758544,0.6269901,0
EP-1222910-A2,EP-0436382,0.62660944,0
EP-1222910-A2,EP-1351649,0.6264196,0
EP-1222910-A2,EP-1563821,0.62635577,0
EP-1222910-A2,WO-1998046196,0.6262772,0
EP-1222910-A2,WO-2000019967,0.62620986,0
EP-1222910-A2,EP-0423430,0.6258819,0
EP-1222910-A2,EP-0779290,0.6257192,0
EP-1222910-A2,EP-0219058,0.6255064,0
EP-1222910-A2,WO-2000056800,0.6251199,0
EP-1222910-A2,EP-1290063,0.6247744,0
EP-1222910-A2,EP-0209365,0.62437165,0
EP-1222910-A2,EP-0323521,0.62425685,0
EP-1222910-A2,EP-0742001,0.62414336,0
EP-1222910-A2,EP-0289990,0.624111,0
EP-1222910-A2,EP-1181924,0.6240951,0
EP-1222910-A2,EP-0136186,0.6239531,0
EP-1222910-A2,EP-1148060,0.6235603,0
EP-1222910-A2,EP-1290997,0.6234652,0
EP-1222910-A2,EP-0798286,0.6233107,0
EP-1222910-A2,EP-1123691,0.6228169,0
EP-1222910-A2,EP-0218248,0.621879,0
EP-1222910-A2,EP-1148071,0.6216415,0
EP-1222910-A2,EP-0709387,0.62160873,0
EP-1222910-A2,WO-2001030307,0.6215162,0
EP-1222910-A2,WO-1998048766,0.6213797,0
EP-1222910-A2,EP-1258239,0.6213613,0
EP-1222910-A2,EP-1141094,0.62105167,0
EP-1222910-A2,EP-0363026,0.62089586,0
EP-1222910-A2,WO-2002007690,0.62057066,0
EP-1222910-A2,EP-0282280,0.6201127,0
EP-1222910-A2,EP-0460478,0.61999285,0
EP-1222910-A2,EP-0438628,0.6199573,0
EP-1222910-A2,EP-1284979,0.6197237,0
EP-1222910-A2,EP-1272147,0.61966836,0
EP-1222910-A2,EP-0325266,0.6195548,0
EP-1222910-A2,EP-1083859,0.6193483,0
EP-1222910-A2,EP-0434334,0.6190947,0
EP-1222910-A2,EP-0400383,0.61861646,0
EP-1222910-A2,EP-0438629,0.6179023,0
EP-1222910-A2,EP-0140140,0.61761194,0
EP-1222910-A2,EP-0346707,0.6166413,0
EP-1222910-A2,WO-1992011837,0.6162508,0
EP-1222910-A2,EP-1181922,0.6161325,0
EP-1222910-A2,EP-0238025,0.6160738,0
EP-1222910-A2,EP-0563749,0.6160137,0
EP-1222910-A2,EP-0873107,0.6156548,0
EP-1222910-A2,EP-1206235,0.61540675,0
EP-1222910-A2,EP-0059525,0.6152339,0
EP-1222910-A2,EP-0074708,0.6149354,0
EP-1222910-A2,WO-1997018792,0.6147053,0
EP-1222910-A2,WO-1999066880,0.6144543,0
EP-1222910-A2,EP-0284275,0.6140204,0
EP-1222910-A2,EP-1245612,0.6139997,0
EP-1222910-A2,EP-0461586,0.61382496,0
EP-1222910-A2,EP-0788344,0.61360353,0
EP-1222910-A2,EP-0797975,0.6134032,0
EP-1222910-A2,WO-2001012129,0.61324966,0
EP-1222910-A2,EP-0531483,0.612904,0
EP-1222910-A2,EP-0901785,0.6128635,0
EP-1222910-A2,EP-1347733,0.6127061,0
EP-1222910-A2,EP-0328772,0.6126697,0
EP-1222910-A2,EP-0687280,0.6124001,0
EP-1222910-A2,EP-0170219,0.61235976,0
EP-1222910-A2,EP-0368657,0.61230993,0
EP-1222910-A2,EP-0909761,0.6122768,0
EP-1222910-A2,EP-0988851,0.6121274,0
EP-1222910-A2,EP-0776650,0.6115498,0
EP-1222910-A2,EP-0061240,0.6109209,0
EP-1222910-A2,EP-0273245,0.61038184,0
EP-1222910-A2,EP-0254950,0.6098488,0
EP-1222910-A2,EP-0255286,0.60916513,0
EP-1222910-A2,WO-1996009332,0.609162,0
EP-1222910-A2,EP-0351076,0.60905206,0
EP-1222910-A2,EP-0684222,0.6089656,0
EP-1222910-A2,EP-1252551,0.6089101,0
EP-1222910-A2,EP-0962215,0.6087002,0
EP-1222910-A2,EP-1176937,0.6082748,0
EP-1222910-A2,EP-1066813,0.60803825,0
EP-1222910-A2,EP-0222899,0.6079658,0
EP-1222910-A2,EP-0738137,0.60760593,0
EP-1222910-A2,EP-1337222,0.607604,0
EP-1222910-A2,EP-0980233,0.60743636,0
EP-1222910-A2,WO-1997029732,0.60722363,0
EP-1222910-A2,EP-0732099,0.60720044,0
EP-1222910-A2,EP-0566616,0.6071103,0
EP-1222910-A2,EP-0630640,0.6070296,0
EP-1222910-A2,EP-0102199,0.6069083,0
EP-1222910-A2,EP-1348416,0.6065421,0
EP-1222910-A2,WO-2001028501,0.606484,0
EP-1222910-A2,EP-1462080,0.60646516,0
EP-1222910-A2,WO-2001010389,0.6063362,0
EP-1222910-A2,EP-0036272,0.606068,0
EP-1222910-A2,EP-1202997,0.6060517,0
EP-1222910-A2,EP-0266220,0.6059638,0
EP-1222910-A2,WO-1998043596,0.6059609,0
EP-1222910-A2,EP-0969789,0.6057301,0
EP-1222910-A2,EP-0468077,0.6056284,0
EP-1222910-A2,EP-0938283,0.6053213,0
EP-1222910-A2,EP-0811368,0.6051465,0
EP-1222910-A2,WO-1986006957,0.60495025,0
EP-1222910-A2,EP-0104000,0.6048639,0
EP-1222910-A2,WO-1999003444,0.60485315,0
EP-1222910-A2,EP-0682934,0.60435605,0
EP-1222910-A2,WO-1999025309,0.6043111,0
EP-1222910-A2,EP-0948956,0.6042717,0
EP-1222910-A2,WO-2001051540,0.6035892,0
EP-1222910-A2,EP-0635478,0.60351306,0
EP-1222910-A2,WO-1998046197,0.60341847,0
EP-1222910-A2,EP-1047368,0.60317695,0
EP-1222910-A2,WO-2001010336,0.603074,0
EP-1222910-A2,EP-0971678,0.603003,0
EP-1222910-A2,EP-0923925,0.602901,0
EP-1222910-A2,EP-1222220,0.6028274,0
EP-1222910-A2,EP-0269071,0.60232043,0
EP-1222910-A2,EP-0627907,0.6021422,0
EP-1222910-A2,EP-0722709,0.6020471,0
EP-1222910-A2,WO-1997014674,0.60202265,0
EP-1222910-A2,EP-0266589,0.60196996,0
EP-1222910-A2,WO-1999034766,0.6015367,0
EP-1222910-A2,EP-0897710,0.60135424,0
EP-1222910-A2,EP-0262488,0.6011638,0
EP-1222910-A2,EP-0835646,0.60084087,0
EP-1222910-A2,EP-0853939,0.60064185,0
EP-1222910-A2,EP-0173567,0.6006272,0
EP-1222910-A2,EP-1121924,0.6005839,0
EP-1222910-A2,WO-1996022078,0.60049886,0
EP-1222910-A2,EP-1226210,0.60049266,0
EP-1222910-A2,WO-2001030903,0.6002523,0
EP-1222910-A2,EP-0377072,0.5999619,0
EP-1222910-A2,EP-0943601,0.599833,0
EP-1222910-A2,EP-0014515,0.59982085,0
EP-1222910-A2,EP-1181923,0.5998011,0
EP-1222910-A2,WO-2002053107,0.59966034,0
EP-1222910-A2,EP-0346708,0.5994545,0
EP-1222910-A2,WO-1996008230,0.59905547,0
EP-1222910-A2,EP-0522341,0.5989441,0
EP-1222910-A2,EP-1089702,0.5988824,0
EP-1222910-A2,WO-1998019650,0.5986242,0
EP-1222910-A2,EP-0626400,0.59844947,0
EP-1222910-A2,WO-1998057612,0.5979184,0
EP-1222910-A2,EP-0973482,0.5978968,1
EP-1222910-A2,EP-0226924,0.5972622,0
EP-1222910-A2,EP-1028692,0.5972085,0
EP-1222910-A2,EP-0058514,0.5971851,0
EP-1222910-A2,WO-2001092373,0.59660536,0
EP-1222910-A2,WO-2001050974,0.59644014,0
EP-1222910-A2,EP-1164125,0.5964153,0
EP-1222910-A2,EP-0486774,0.596305,0
EP-1222910-A2,EP-1179024,0.5961617,0
EP-1222910-A2,WO-1998030192,0.59606296,0
EP-1222910-A2,WO-1992016183,0.59572566,0
EP-1222910-A2,EP-0738928,0.595724,0
EP-1222910-A2,EP-0095587,0.5954435,0
EP-1222910-A2,EP-0684034,0.5954378,0
EP-1222910-A2,EP-0138232,0.5952649,0
EP-1222910-A2,WO-1989005625,0.5949553,0
EP-1222910-A2,EP-0176777,0.5949495,0
EP-1222910-A2,EP-0243128,0.5948796,0
EP-1222910-A2,EP-0266548,0.5947664,0
EP-1222910-A2,WO-2001030302,0.59469104,0
EP-1222910-A2,EP-0529264,0.5946654,0
EP-1222910-A2,WO-1997002328,0.5938072,0
EP-1222910-A2,EP-0356868,0.5931028,0
EP-1222910-A2,EP-0363095,0.5930166,0
EP-1222910-A2,EP-0064834,0.5929283,0
EP-1222910-A2,WO-2001018085,0.5927032,0
EP-1222910-A2,WO-2002011681,0.5926252,0
EP-1222910-A2,WO-1999027892,0.5925882,0
EP-1222910-A2,EP-0155812,0.59251225,0
EP-1222910-A2,EP-1263347,0.5923529,0
EP-1222910-A2,EP-0767652,0.59233403,0
EP-1222910-A2,EP-1227781,0.5923218,0
EP-1222910-A2,WO-1999009934,0.5922623,0
EP-1222910-A2,WO-2001012679,0.5921042,0
EP-1222910-A2,WO-1998046198,0.59174156,1
EP-1222910-A2,WO-2001007444,0.59172404,0
EP-1222910-A2,EP-0394787,0.59156,0
EP-1222910-A2,EP-0257777,0.59147704,0
EP-1222910-A2,WO-1999051189,0.591393,0
EP-1222910-A2,EP-0694298,0.5912565,0
EP-1222910-A2,EP-0783880,0.59106696,0
EP-1222910-A2,WO-1998036639,0.5907372,0
EP-1222910-A2,EP-0334338,0.59041,0
EP-1222910-A2,EP-0316086,0.5902298,0
EP-1222910-A2,EP-0182523,0.58991057,0
EP-1222910-A2,EP-0442326,0.5894979,0
EP-1222910-A2,EP-0308359,0.58945644,0
EP-1222910-A2,WO-2003043589,0.58928955,0
EP-1222910-A2,EP-0373384,0.58885264,0
EP-1222910-A2,EP-0782591,0.5887533,0
EP-1222910-A2,EP-0537774,0.58855313,0
EP-1222910-A2,EP-0358195,0.5884295,0
EP-1222910-A2,EP-0732911,0.58821064,0
EP-1222910-A2,EP-0200680,0.5880607,0
EP-1222910-A2,EP-1124529,0.588058,0
EP-1222910-A2,EP-0430705,0.587989,0
EP-1222910-A2,EP-0126824,0.5879096,0
EP-1222910-A2,EP-1337223,0.58786654,0
EP-1222910-A2,WO-1996000558,0.58775723,0
EP-1222910-A2,EP-0387203,0.58753395,0
EP-1222910-A2,EP-0599223,0.5875278,0
EP-1222910-A2,WO-1997018791,0.5874906,0
EP-1222910-A2,EP-0223245,0.58745134,0
EP-1222910-A2,WO-1997040102,0.5874267,0
EP-1222910-A2,WO-2001068038,0.5873649,0
EP-1222910-A2,EP-0277413,0.5870985,0
EP-1222910-A2,WO-1996031559,0.5868219,0
EP-1222910-A2,EP-0767651,0.5867238,0
EP-1222910-A2,WO-2001017482,0.58671,0
EP-1222910-A2,WO-2000020494,0.58585757,0
EP-1222910-A2,EP-1246580,0.585746,0
EP-1222910-A2,EP-0879257,0.585695,0
EP-1222910-A2,EP-0959872,0.58567107,0
EP-1222910-A2,EP-0307322,0.5854497,0
EP-1222910-A2,WO-2001010388,0.5854366,0
EP-1222910-A2,EP-0661034,0.5854096,0
EP-1222910-A2,EP-0476789,0.5853387,0
EP-1222910-A2,WO-1998020839,0.58527493,0
EP-1222910-A2,EP-0710475,0.58520395,0
EP-1222910-A2,WO-1998011862,0.58511764,0
EP-1222910-A2,WO-2002011680,0.58509564,0
EP-1222910-A2,EP-0355562,0.5850304,0
EP-1222910-A2,EP-0799016,0.58500856,0
EP-1222910-A2,EP-0697400,0.58465654,0
EP-1222910-A2,EP-1326574,0.5843221,0
EP-1222910-A2,EP-1133971,0.5842512,0
EP-1222910-A2,EP-0210850,0.58425015,0
EP-1222910-A2,EP-0897297,0.58401763,0
EP-1222910-A2,EP-0310372,0.5840105,0
EP-1222910-A2,EP-0434010,0.5838401,0
EP-1222910-A2,EP-1149573,0.58380467,0
EP-1222910-A2,WO-1995020937,0.58379936,0
EP-1222910-A2,EP-1200036,0.5837914,0
EP-1222910-A2,EP-0317944,0.5837886,0
EP-1222910-A2,EP-0345581,0.5837636,0
EP-1222910-A2,EP-0988018,0.5837234,0
EP-1222910-A2,EP-0857475,0.58360076,0
EP-1222910-A2,WO-1993012759,0.58346707,1
EP-1222910-A2,WO-2000056779,0.58323616,0
EP-1222910-A2,EP-0053442,0.58320796,0
EP-1222910-A2,WO-2001032717,0.58307576,0
EP-1222910-A2,WO-2000033792,0.58264446,0
EP-1222910-A2,WO-1996019179,0.5823165,0
EP-1222910-A2,EP-0047097,0.5822494,0
EP-1222910-A2,WO-1995030402,0.58205104,0
EP-1222910-A2,EP-0336417,0.58182263,0
EP-1222910-A2,EP-0217958,0.5818096,0
EP-1222910-A2,EP-0847745,0.58174384,0
EP-1222910-A2,EP-0383873,0.5816778,0
EP-1222910-A2,EP-0330117,0.58165526,0
EP-1222910-A2,EP-0410199,0.58163816,0
EP-1222910-A2,EP-0609902,0.58137316,1
EP-1222910-A2,EP-0105984,0.5813365,0
EP-1222910-A2,EP-0861062,0.581126,0
EP-1222910-A2,EP-1213313,0.5811223,0
EP-1222910-A2,WO-2001044873,0.5807842,0
EP-1222910-A2,EP-0540754,0.5806974,0
EP-1222910-A2,EP-0384247,0.5805919,0
EP-1222910-A2,EP-1033125,0.58043253,0
EP-1222910-A2,EP-0103420,0.5803994,0
EP-1222910-A2,EP-0957885,0.5802722,0
EP-1222910-A2,EP-0533434,0.58023524,0
EP-1222910-A2,WO-1995015740,0.5802266,0
EP-1222910-A2,EP-0432523,0.5799986,0
EP-1222910-A2,EP-0603372,0.57977295,0
EP-1222910-A2,WO-2000021454,0.57975996,0
EP-1222910-A2,EP-1159281,0.5795836,0
EP-1222910-A2,EP-1119337,0.57957494,0
EP-1222910-A2,EP-1169009,0.5794902,0
EP-1222910-A2,WO-2001030305,0.57942927,0
EP-1222910-A2,WO-2001030304,0.57940125,0
EP-1222910-A2,EP-1101484,0.579378,0
EP-1222910-A2,EP-0873106,0.57934034,0
EP-1222910-A2,WO-1998000071,0.57920706,0
EP-1222910-A2,EP-0867443,0.5789641,0
EP-1222910-A2,WO-2000030591,0.57893026,0
EP-1222910-A2,EP-0509516,0.5788197,0
EP-1222910-A2,EP-1323406,0.5787929,0
EP-1222910-A2,EP-0861230,0.57871723,0
EP-1222910-A2,EP-1237980,0.57864404,0
EP-1222910-A2,WO-1997011670,0.5785446,0
EP-1222910-A2,EP-0418684,0.57840437,0
EP-1222910-A2,EP-0930865,0.577928,0
EP-1222910-A2,EP-0073850,0.577914,0
EP-1222910-A2,EP-0787477,0.57780325,0
EP-1222910-A2,EP-1262530,0.57698923,0
EP-1222910-A2,EP-0744172,0.57692623,0
EP-1222910-A2,WO-1999028377,0.5769057,0
EP-1222910-A2,EP-0198930,0.57678723,0
EP-1222910-A2,WO-1996026708,0.5767745,0
EP-1222910-A2,EP-0002767,0.5767531,0
EP-1222910-A2,WO-1999040884,0.5765499,0
EP-1222910-A2,EP-0408473,0.576481,0
EP-1222910-A2,EP-0993422,0.5764394,0
EP-1222910-A2,WO-2002007691,0.5761133,0
EP-1222910-A2,EP-0367058,0.57590246,0
EP-1222910-A2,EP-0805672,0.57581395,0
EP-1222910-A2,WO-1997008134,0.57572526,0
EP-1222910-A2,EP-0584376,0.5756503,0
EP-1222910-A2,EP-1214042,0.5752287,0
EP-1222910-A2,EP-1287057,0.5750583,0
EP-1222910-A2,WO-2001030306,0.5750195,0
EP-1222910-A2,EP-0923926,0.5747582,0
EP-1222910-A2,EP-1236459,0.5745912,0
EP-1222910-A2,WO-1996016630,0.574526,0
EP-1222910-A2,EP-0158609,0.5744306,0
EP-1222910-A2,WO-1996019471,0.5743557,0
EP-1222910-A2,WO-1993012757,0.57424337,0
EP-1222910-A2,EP-0032124,0.5741596,0
EP-1222910-A2,EP-1343452,0.5738241,0
EP-1222910-A2,WO-2000010478,0.57381535,0
EP-1222910-A2,WO-2002032338,0.57375705,0
EP-1222910-A2,WO-1999001400,0.57322776,0
EP-1222910-A2,EP-0329268,0.57320046,0
EP-1222910-A2,WO-2001049251,0.57294357,0
EP-1222910-A2,WO-1997003039,0.5720155,0
EP-1222910-A2,EP-0572947,0.5719358,0
EP-1222910-A2,WO-1998002136,0.5717594,0
EP-1222910-A2,EP-0997132,0.5714708,0
EP-1222910-A2,EP-1036108,0.5714315,0
EP-1222910-A2,EP-1486197,0.5713692,0
EP-1222910-A2,EP-0411512,0.571347,0
EP-1222910-A2,WO-1996016631,0.57118046,0
EP-1222910-A2,EP-0626842,0.5710994,0
EP-1222910-A2,EP-0534264,0.5710284,0
EP-1222910-A2,EP-0897709,0.57078326,0
EP-1222910-A2,EP-0706785,0.57059765,0
EP-1222910-A2,WO-2000042080,0.5703611,0
EP-1222910-A2,EP-0588878,0.5703536,1
EP-1222910-A2,EP-0268347,0.57002926,0
EP-1222910-A2,EP-0510211,0.5697701,0
EP-1222910-A2,EP-0180043,0.56971955,0
EP-1222910-A2,EP-0868897,0.56965435,0
EP-1222910-A2,EP-0211104,0.56960535,0
EP-1222910-A2,EP-1168980,0.5695965,0
EP-1222910-A2,EP-0333503,0.56955075,0
EP-1222910-A2,EP-1245218,0.56950897,0
EP-1222910-A2,WO-1999007328,0.5695011,0
EP-1222910-A2,EP-1123060,0.5687959,0
EP-1222910-A2,EP-0431452,0.5686961,0
EP-1222910-A2,EP-0575667,0.5686706,0
EP-1222910-A2,EP-0040232,0.56861514,0
EP-1222910-A2,EP-1227782,0.56847954,0
EP-1222910-A2,WO-1996000559,0.56829405,0
EP-1224915-A1,EP-0955930,0.83006394,1
EP-1224915-A1,WO-1998029046,0.81504786,1
EP-1224915-A1,WO-1998022033,0.8031149,0
EP-1224915-A1,EP-0951246,0.8030944,0
EP-1224915-A1,EP-1119305,0.7676436,0
EP-1224915-A1,WO-1998009576,0.76303715,0
EP-1224915-A1,WO-2000021447,0.7622498,0
EP-1224915-A1,WO-1995005784,0.76195043,0
EP-1224915-A1,EP-0645986,0.75900406,0
EP-1224915-A1,EP-1415603,0.7585322,0
EP-1224915-A1,WO-2000048523,0.75837255,0
EP-1224915-A1,EP-1075223,0.7569053,0
EP-1224915-A1,WO-1998055038,0.7560674,0
EP-1224915-A1,WO-1998044859,0.7541766,0
EP-1224915-A1,EP-1152704,0.75409776,0
EP-1224915-A1,WO-1999000065,0.7535879,0
EP-1224915-A1,WO-2000001312,0.7534064,0
EP-1224915-A1,EP-0514303,0.7520093,0
EP-1224915-A1,WO-2001054597,0.7517669,0
EP-1224915-A1,WO-2000001314,0.75124943,0
EP-1224915-A1,EP-0986339,0.7512131,0
EP-1224915-A1,EP-1415602,0.7486477,0
EP-1224915-A1,EP-0971639,0.7477284,0
EP-1224915-A1,EP-0932368,0.74767256,0
EP-1224915-A1,EP-1094759,0.747574,0
EP-1224915-A1,WO-1998049960,0.7446425,0
EP-1224915-A1,EP-1250101,0.744526,0
EP-1224915-A1,WO-1999055242,0.7443115,0
EP-1224915-A1,WO-1999055247,0.74344325,0
EP-1224915-A1,WO-2001001873,0.7422352,0
EP-1224915-A1,EP-1075224,0.74183273,0
EP-1224915-A1,EP-0821917,0.74120545,0
EP-1224915-A1,WO-2002007622,0.73961735,0
EP-1224915-A1,EP-0571619,0.7391729,0
EP-1224915-A1,WO-1999055246,0.7391205,0
EP-1224915-A1,EP-1011504,0.73615503,0
EP-1224915-A1,WO-2001006940,0.7356211,0
EP-1224915-A1,EP-1303225,0.7353475,0
EP-1224915-A1,EP-1185209,0.73393846,0
EP-1224915-A1,EP-0947175,0.7323949,0
EP-1224915-A1,EP-0813845,0.7318286,0
EP-1224915-A1,EP-1072228,0.73110163,0
EP-1224915-A1,WO-1996036291,0.7302449,0
EP-1224915-A1,EP-1075225,0.72984,0
EP-1224915-A1,EP-0811357,0.72874916,0
EP-1224915-A1,WO-1998043551,0.72860646,0
EP-1224915-A1,WO-2000076413,0.72813535,0
EP-1224915-A1,EP-0436697,0.72762406,0
EP-1224915-A1,EP-0722298,0.72729415,0
EP-1224915-A1,EP-0596788,0.7266138,0
EP-1224915-A1,EP-0825835,0.7248348,0
EP-1224915-A1,WO-1995005786,0.72446316,0
EP-1224915-A1,EP-0779796,0.7229732,0
EP-1224915-A1,EP-0778007,0.7227974,0
